BenchmarkName,TestFilePath,TestCaseName,InvokeFunPre_Count_Raw,InvokeFunPre_Count_Normalized,Invokes_with_callback_Raw,Invokes_with_callback_Normalized,Cbs_Total_delay_ms_Raw,Cbs_Total_delay_ms_Normalized,Cb_Delays_Greater_Than_100_ms_Raw,Cb_Delays_Greater_Than_100_ms_Normalized,InvokesInterval_Greater_Than_100_ms_Raw,InvokesInterval_Greater_Than_100_ms_Normalized,AsyncFunction_Count_Raw,AsyncFunction_Count_Normalized,Await_Count_Raw,Await_Count_Normalized,Unique_Asynchook_ids_Raw,Unique_Asynchook_ids_Normalized,totalSettledPromises_Raw,totalSettledPromises_Normalized,avgResolved_Raw,avgResolved_Normalized,avgRejected_Raw,avgRejected_Normalized,longestResolved_Raw,longestResolved_Normalized,resolvedPercentage_Raw,resolvedPercentage_Normalized,awaitIntervals_Raw,awaitIntervals_Normalized,Total_duration_s_Raw,HasEventRace,Total_duration_s_Normalized
mongo-express,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/mongo-express/test/lib/csvSpec.js,CSV should handle nested objects,8.413410977097495e-05,0.0015105740181268,0.0,0.0,0.0,0.0,0.0,0.0,0.05747126436781609,0.1,0.0,0.0,0.0,0.0,0.00017301038062283736,0.0,0.0013908205841446453,0.0,0.0002605012329202188,0.0739130434782608,0.0,0.0,0.0003924758805731575,0.0238095238095238,1.0,1.0,0.0,0.0,0.1978233944488437,False,0.09903536977491963
mongo-express,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/mongo-express/test/lib/csvSpec.js,CSV should handle schema difference between objects,0.00010216284757904098,0.002643504531722,0.0,0.0,0.0,0.0,0.0,0.0,0.05747126436781609,0.1,0.0,0.0,0.0,0.0,0.00017301038062283736,0.0,0.0013908205841446453,0.0,0.00019983656224016786,0.0,0.0,0.0,0.0002783010789518753,0.0,1.0,1.0,0.0,0.0,0.20198574648230494,False,0.11551446945337623
mongo-express,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/mongo-express/test/lib/csvSpec.js,CSV should handle mongo ObjectID,9.01436890403303e-05,0.0018882175226586,0.0,0.0,0.0,0.0,0.0,0.0,0.04597701149425287,0.075,0.0,0.0,0.0,0.0,0.00017301038062283736,0.0,0.0013908205841446453,0.0,0.0002926178232802458,0.1130434782608695,0.0,0.0,0.0004138836558771479,0.0282738095238095,1.0,1.0,0.0,0.0,0.20740695620393496,False,0.13697749196141468
mongo-express,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/mongo-express/test/lib/csvSpec.js,CSV should handle simple array,8.413410977097495e-05,0.0015105740181268,0.0,0.0,0.0,0.0,0.0,0.0,0.05747126436781609,0.1,0.0,0.0,0.0,0.0,0.00017301038062283736,0.0,0.0013908205841446453,0.0,0.0002961863333202488,0.117391304347826,0.0,0.0,0.0004138836558771479,0.0282738095238095,1.0,1.0,0.0,0.0,0.22365028121256422,False,0.2012861736334405
mongo-express,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/mongo-express/test/lib/csvSpec.js,CSV should handle complex array,8.413410977097495e-05,0.0015105740181268,0.0,0.0,0.0,0.0,0.0,0.0,0.05747126436781609,0.1,0.0,0.0,0.0,0.0,0.00017301038062283736,0.0,0.0013908205841446453,0.0,0.0006744483975605665,0.5782608695652174,0.0,0.0,0.0007421362105383342,0.0967261904761904,1.0,1.0,0.0,0.0,0.21238147448782768,False,0.15667202572347264
mongo-express,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/mongo-express/test/lib/filtersSpec.js,filters to_display should escape properly a string,0.00010216284757904098,0.002643504531722,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.00017301038062283736,0.0,0.0013908205841446453,0.0,0.00022481613252018883,0.0304347826086956,0.0,0.0,0.00029970885425586574,0.0044642857142857,1.0,1.0,0.0,0.0,0.17552943087450001,False,0.01077170418006434
mongo-express,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/mongo-express/test/lib/filtersSpec.js,filters to_display should escape properly an object,6.0095792693553524e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.00017301038062283736,0.0,0.0013908205841446453,0.0,0.00034614547388029076,0.1782608695652174,0.0,0.0,0.000421019580978478,0.0297619047619047,1.0,1.0,0.0,0.0,0.17745832571927475,False,0.018408360128617345
mongo-express,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/mongo-express/test/lib/routers/collectionSpec.js,Router collection GET /db/<dbName>/<collection> should return html,0.015973461697946525,1.0,0.005016433143054835,1.0,0.026578999757413208,1.0,0.02189054726368159,1.0,0.47126436781609193,1.0,0.0,0.0,0.0,0.0,0.0038062283737024223,1.0,0.018080667593880387,1.0,0.0009901242857146778,0.962876254180602,0.0,0.0,0.005073642747045727,1.0,1.0,1.0,0.0,0.0,0.42145337150514717,True,0.9844051446945333
mongo-express,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/mongo-express/test/lib/routers/databaseSpec.js,Router database GET /db/<dbName> should return html,0.0017908546222678951,0.1087613293051359,0.0040650406504065045,0.8103448275862069,0.006492968023765344,0.2442894045308976,0.012935323383084577,0.5909090909090909,0.29885057471264365,0.625,0.0,0.0,0.0,0.0,0.00328719723183391,0.8571428571428571,0.018080667593880387,1.0,0.0008660499366314967,0.811705685618729,0.0,0.0,0.004781069817891191,0.9389880952380952,1.0,1.0,0.0,0.0,0.32094779801425355,True,0.5864951768488743
mongo-express,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/mongo-express/test/lib/routers/documentSpec.js,Router document GET /db/<dbName>/<collection>/<document> should return html,0.0020913335857356626,0.127643504531722,0.004843452689846047,0.9655172413793104,0.009921233359377685,0.3732733906440754,0.02189054726368159,1.0,0.24137931034482757,0.5,0.0,0.0,0.0,0.0,0.00328719723183391,0.8571428571428571,0.018080667593880387,1.0,0.0007683276616898761,0.6926421404682275,0.0,0.0,0.00419592395958212,0.8169642857142857,1.0,1.0,0.0,0.0,0.31306978538506836,True,0.5553054662379419
